pad_id,pad_cx,pad_cy,n_track,k_hit,eff,amp_n,amp_med,amp_p25,amp_p75,amp_n_own,amp_med_own,amp_mean
716,233.7557,155.3466,0,0,,0,,,,0,,
715,425.4372,279.8563,360,350,0.9722222222222222,350,636.0,379.99999999999994,1116.0,225,676.0,900.8228571428572
714,147.8398,98.8111,0,0,,0,,,,0,,
713,339.505,223.334,1,0,0.0,0,,,,0,,
712,445.2584,291.3116,0,0,,0,,,,0,,
711,253.5749,166.8115,0,0,,0,,,,0,,
710,359.3243,234.7913,21824,20107,0.9213251466275659,20107,267.32894736842104,156.4129353233831,442.78205128205127,17732,262.81290322580645,407.40617695329985
709,465.0774,302.7647,0,0,,0,,,,0,,
708,273.3913,178.2714,0,0,,0,,,,0,,
707,379.1413,246.2453,28964,26863,0.9274616765640105,26863,394.6227106227106,231.3735632183908,644.2463768115941,23733,390.86400000000003,565.9911402300562
706,484.8946,314.2159,0,0,,0,,,,0,,
705,167.6517,110.2871,0,0,,0,,,,0,,
704,293.205,189.7268,0,0,,0,,,,0,,
831,397.4839,318.3122,0,0,,0,,,,0,,
830,147.3473,118.758,0,0,,0,,,,0,,
829,371.2104,296.2709,0,0,,0,,,,0,,
828,246.1312,196.5036,0,0,,0,,,,0,,
827,121.0825,96.7166,0,0,,0,,,,0,,
826,344.9356,274.2293,0,0,,0,,,,0,,
825,443.7461,351.9483,0,0,,0,,,,0,,
824,219.8564,174.463,0,0,,0,,,,0,,
823,318.6588,252.1869,0,0,,0,,,,0,,
822,417.4688,329.905,0,0,,0,,,,0,,
821,193.5786,152.4219,0,0,,0,,,,0,,
820,292.3797,230.1444,0,0,,0,,,,0,,
819,391.1896,307.8609,0,0,,0,,,,0,,
818,364.9078,285.8163,0,0,,0,,,,0,,
817,463.7216,363.5298,0,0,,0,,,,0,,
816,266.0973,208.1007,0,0,,0,,,,0,,
815,167.2966,130.3805,0,0,,0,,,,0,,
814,437.4387,341.4835,0,0,,0,,,,0,,
813,338.6237,263.7703,0,0,,0,,,,0,,
812,239.8113,186.0563,0,0,,0,,,,0,,
811,411.1528,319.4364,0,0,,0,,,,0,,
810,141.0074,108.3379,0,0,,0,,,,0,,
809,312.3358,241.7235,0,0,,0,,,,0,,
808,384.8645,297.3876,0,0,,0,,,,0,,
807,213.5192,164.0109,0,0,,0,,,,0,,
