station,vmm,ch,channel_id,x,y,radius,phi,pad_area,connector_N,half,n_track,k_track,eff,n_hits,adc_med,adc_p25,adc_p75,adc_med_raw8,adc_mpv,masked,illuminated,eff_err
P2_IN,2,58,389,547.0273,186.0523,627.8358,0.34002979,133.018,4,bot,0.0,0.0,,9376.0,95.8525564803805,84.70392390011891,134.13052631578947,95.80333068992863,88.0,False,False,
P2_IN,2,59,388,514.8001,174.329,593.5378,0.33901652,132.972,4,bot,0.0,0.0,,14421.0,9.166375337676785,4.583187668838392,13.749563006515176,4.583187668838392,8.0,False,False,
P2_IN,2,60,387,482.5717,162.6066,559.2382,0.33777609,132.906,4,bot,0.0,0.0,,13691.0,87.71446003660769,74.37051184110008,118.07222222222222,85.99810246679317,72.0,False,False,
P2_IN,2,61,386,450.3415,150.885,524.9369,0.33622604,132.842,4,bot,0.0,0.0,,25945.0,88.39139951075062,75.66052158273382,110.75206338725653,86.20605598933537,72.0,False,False,
P2_IN,2,62,385,418.1098,139.1638,490.6375,0.33549703,132.764,4,bot,0.0,0.0,,23213.0,92.31979518212499,81.51425578959618,115.72284644194757,91.23591443205785,88.0,False,False,
P2_IN,2,63,384,559.0359,186.2003,636.6766,0.33940585,133.035,4,bot,0.0,0.0,,8191.0,68.6655172413793,57.582918982158525,88.0749063670412,67.44274809160305,56.0,False,False,
P2_IN,3,0,511,517.5066,230.142,617.0077,0.42878126,133.005,4,top,0.0,0.0,,18815.0,110.16661387393094,98.24707000316756,141.14245810055866,109.227969348659,104.0,False,False,
P2_IN,3,1,510,465.3043,206.9018,559.8635,0.42979372,132.904,4,top,1289.0,301.0,0.2335143522110163,48558.0,106.28159278737792,92.35077901430843,135.50646766169154,103.60351150127792,88.0,False,True,0.01178371809075004
P2_IN,3,2,509,413.1015,183.6627,502.7201,0.43103635,132.79,4,top,25298.0,6739.0,0.2663846944422484,72599.0,99.44590011305446,88.49488816886344,126.44697185100938,98.74740190880169,88.0,False,True,0.002779365943839177
P2_IN,3,3,508,497.5873,218.6703,594.1517,0.42878987,132.962,4,top,0.0,0.0,,21403.0,116.53962264150942,95.98728734342868,233.36283185840702,115.65098634294385,88.0,False,False,
