channel_id,feu,channel,pad_cx,pad_cy,ped_mean,thr_word,thr_adc
825,5,390,443.7461,351.9483,268,283,27
824,5,391,219.8564,174.463,326,284,28
823,5,392,318.6588,252.1869,295,284,28
822,5,393,417.4688,329.905,319,283,27
821,5,394,193.5786,152.4219,275,284,28
820,5,395,292.3797,230.1444,310,284,28
819,5,396,391.1896,307.8609,269,284,28
818,5,397,364.9078,285.8163,321,284,28
817,5,398,463.7216,363.5298,288,283,27
816,5,399,266.0973,208.1007,320,284,28
815,5,400,167.2966,130.3805,297,286,30
814,5,401,437.4387,341.4835,316,284,28
813,5,402,338.6237,263.7703,302,285,29
812,5,403,239.8113,186.0563,335,284,28
811,5,404,411.1528,319.4364,302,284,28
810,5,405,141.0074,108.3379,336,286,30
809,5,406,312.3358,241.7235,294,285,29
808,5,407,384.8645,297.3876,312,284,28
807,5,408,213.5192,164.0109,291,284,28
806,5,409,457.395,353.0496,333,284,28
805,5,410,286.0434,219.6755,283,284,28
804,5,411,358.5721,275.3375,340,285,29
803,5,412,431.1032,330.9984,300,284,28
802,5,413,187.2194,141.963,338,284,28
801,5,414,259.7452,197.6252,296,284,28
800,5,415,332.2753,253.2859,342,284,28
799,5,416,404.8073,308.9457,298,284,28
798,5,417,114.7057,86.2957,334,285,29
797,5,418,305.9728,231.232,317,286,30
796,5,419,378.5068,286.891,328,283,27
795,5,420,451.0412,342.5494,278,284,28
794,5,421,233.4391,175.573,342,284,28
793,5,422,160.9069,119.9141,312,285,29
792,5,423,97.5305,71.0754,334,284,28
791,5,424,424.7378,320.4921,315,284,28
790,5,425,352.2006,264.8338,331,284,28
789,5,426,279.6622,209.1755,326,285,29
788,5,427,470.969,354.0906,317,284,28
787,5,428,398.4293,298.432,279,284,28
786,5,429,207.1214,153.518,327,284,28
785,5,430,325.8872,242.7739,286,284,28
784,5,431,444.658,332.0282,320,284,28
783,5,432,134.5739,97.8619,292,284,28
782,5,433,253.3418,187.1156,303,284,28
781,5,434,372.114,276.3692,294,283,27
780,5,435,299.565,220.7103,324,284,28
779,5,436,418.341,309.9631,264,284,28
778,5,437,180.7873,131.4582,305,284,28
777,5,438,464.5685,343.5558,317,283,27
776,5,439,345.7904,254.3029,338,283,27
775,5,440,227.0074,165.0512,292,284,28
774,5,441,392.0166,287.8943,327,283,27
773,5,442,273.2309,198.6421,319,284,28
772,5,443,438.2431,321.4852,321,282,26
771,5,444,319.4562,232.2321,307,284,28
770,5,445,365.6826,265.8215,324,283,27
769,5,446,411.9098,299.4105,297,283,27
768,5,447,458.1373,332.9993,308,283,27
895,5,448,440.8571,390.9432,344,283,27
894,5,449,408.4578,358.5694,366,284,28
893,5,450,434.7239,380.6173,332,284,28
892,5,451,382.192,336.5199,343,283,27
891,5,452,355.9255,314.469,308,283,27
890,5,453,329.659,292.4159,332,284,28
889,5,454,297.256,260.044,358,284,28
888,5,455,323.5187,282.0929,343,284,28
887,5,456,349.7814,304.1407,325,284,28
886,5,457,376.0448,326.1868,341,283,27
885,5,458,402.3085,348.2318,336,284,28
884,5,459,428.5718,370.2762,346,283,27
883,5,460,270.9936,237.9928,353,284,28
882,5,461,244.732,215.9392,361,284,28
881,5,462,218.4712,193.8816,334,284,28
880,5,463,291.0919,249.7057,371,284,28
879,5,464,317.3526,271.7499,327,285,29
878,5,465,343.6137,293.7933,343,284,28
877,5,466,369.8754,315.8358,337,285,29
876,5,467,396.1375,337.8775,364,284,28
875,5,468,422.4,359.9191,337,284,28
874,5,469,448.6628,381.9599,353,284,28
873,5,470,264.832,227.6609,338,285,29
872,5,471,238.5729,205.6143,340,285,29
871,5,472,212.3156,183.5654,360,285,29
870,5,473,186.0607,161.5136,348,285,29
869,5,474,159.8089,139.4574,346,286,30
868,5,475,133.5623,117.3941,348,285,29
867,5,476,107.3262,95.3177,362,285,29
866,5,477,416.2069,349.5448,397,284,28
865,5,478,442.4699,371.5842,377,285,29
864,5,479,389.9444,327.5051,373,283,27
863,5,480,363.6818,305.4656,338,285,29
862,5,481,337.4197,283.4256,360,284,28
861,5,482,311.1582,261.3851,352,284,28
860,5,483,284.8972,239.3447,357,284,28
859,5,484,258.6369,217.3032,340,285,29
858,5,485,232.3774,195.2616,371,285,29
857,5,486,206.1191,173.2192,357,285,29
856,5,487,179.8631,151.175,347,285,29
855,5,488,436.2555,361.1918,366,285,29
854,5,489,409.991,339.1532,363,284,28
853,5,490,153.6099,129.1292,359,285,29
852,5,491,383.7267,317.1142,357,283,27
851,5,492,357.4623,295.0753,334,285,29
850,5,493,127.3615,107.0799,347,286,30
849,5,494,331.1979,273.0361,357,285,29
848,5,495,304.9334,250.997,374,284,28
847,5,496,278.6691,228.958,337,285,29
846,5,497,456.2853,372.8208,352,284,28
845,5,498,101.1221,85.0246,336,285,29
844,5,499,430.0184,350.7817,311,283,27
843,5,500,252.4046,206.9185,334,284,28
842,5,501,403.7506,328.7428,359,283,27
