node_id,x_mm,y_mm,z_mm,Ux_norm,Uy_norm,Uz_norm,eigenvalue,T_buckle_C
156,480.4750,258.9850,0.0000,0.000001,-0.000018,0.000531,1.003860,146.5
157,484.4620,252.0790,0.0000,0.000000,-0.000016,0.000262,1.003860,146.5
158,488.4490,245.1730,0.0000,0.000002,-0.000014,0.000087,1.003860,146.5
159,492.4370,238.2670,0.0000,0.000001,-0.000003,0.000063,1.003860,146.5
160,496.4240,231.3600,0.0000,-0.000000,0.000003,0.000046,1.003860,146.5
161,500.4110,224.4540,0.0000,0.000000,-0.000000,0.000008,1.003860,146.5
162,504.3990,217.5480,0.0000,0.000001,-0.000000,-0.000026,1.003860,146.5
163,508.3860,210.6410,0.0000,0.000001,0.000001,-0.000040,1.003860,146.5
164,512.3730,203.7350,0.0000,0.000001,0.000002,-0.000020,1.003860,146.5
165,516.3610,196.8290,0.0000,-0.000001,0.000005,0.000032,1.003860,146.5
166,520.3480,189.9230,0.0000,-0.000005,0.000013,0.000086,1.003860,146.5
167,524.3350,183.0160,0.0000,-0.000005,0.000005,0.000039,1.003860,146.5
168,528.3230,176.1100,0.0000,-0.000003,0.000001,0.000001,1.003860,146.5
169,532.3100,169.2040,0.0000,-0.000001,-0.000002,0.000003,1.003860,146.5
170,536.2970,162.2980,0.0000,-0.000001,-0.000001,0.000013,1.003860,146.5
171,540.2850,155.3910,0.0000,0.000002,0.000004,0.000023,1.003860,146.5
172,544.2720,148.4850,0.0000,0.000009,0.000005,0.000029,1.003860,146.5
173,548.2600,141.5790,0.0000,0.000003,0.000000,0.000026,1.003860,146.5
174,552.2470,134.6720,0.0000,-0.000002,-0.000003,0.000024,1.003860,146.5
175,556.2340,127.7660,0.0000,-0.000000,-0.000001,0.000018,1.003860,146.5
176,560.2210,120.8600,0.0000,0.000000,-0.000001,0.000016,1.003860,146.5
177,564.2090,113.9540,0.0000,0.000000,-0.000004,0.000009,1.003860,146.5
178,568.1960,107.0470,0.0000,0.000002,-0.000001,-0.000002,1.003860,146.5
179,572.1840,100.1410,0.0000,-0.000015,0.000006,-0.000002,1.003860,146.5
180,576.1710,93.2348,0.0000,-0.000021,0.000009,-0.000002,1.003860,146.5
181,580.1580,86.3285,0.0000,-0.000010,0.000006,0.000008,1.003860,146.5
182,584.1460,79.4222,0.0000,-0.000007,0.000005,0.000021,1.003860,146.5
183,588.1330,72.5159,0.0000,-0.000003,0.000003,0.000012,1.003860,146.5
184,592.1200,65.6096,0.0000,0.000001,0.000001,0.000001,1.003860,146.5
185,596.1080,58.7034,0.0000,-0.000000,-0.000001,0.000004,1.003860,146.5
186,600.0950,51.7971,0.0000,-0.000002,0.000001,0.000009,1.003860,146.5
187,604.0820,44.8908,0.0000,0.000001,0.000003,0.000014,1.003860,146.5
188,608.0700,37.9845,0.0000,0.000001,-0.000001,0.000004,1.003860,146.5
189,612.0570,31.0783,0.0000,0.000002,-0.000003,-0.000000,1.003860,146.5
190,616.0440,24.1720,0.0000,0.000000,-0.000003,-0.000009,1.003860,146.5
191,620.0320,17.2657,0.0000,0.000002,0.000001,-0.000009,1.003860,146.5
