station,gas,run,sub,chip,mesh,drift,n,sigma,mu,ctr,eff,pt,gain
P2_MID,Ar/CF4/Iso 88/10/2,run_61,meshscan_m90V,p2b-config-cern-ext_gain3.0_peaktime200.txt,360.0,660.0,22,6.225236276737014,111.86338558209313,17.2451028552303,0.00027175388047209997,200.0,3.0
P2_MID,Ar/CF4/Iso 88/10/2,run_62,driftscan_gap150V,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,600.0,29,33.108136366349925,157.41557916187864,19.19921012400204,0.3231036937435735,200.0,3.0
P2_MID,Ar/CF4/Iso 88/10/2,run_62,driftscan_gap200V,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,650.0,9,24.57138414517887,128.18014216692873,23.672283624919,0.3322284327743837,200.0,3.0
P2_MID,Ar/CF4/Iso 88/10/2,run_63,operating_00,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,750.0,41,19.635131344286528,104.77248624288954,31.08743248556588,0.3433092086674925,200.0,3.0
P2_MID,Ar/CF4/Iso 88/10/2,run_63,operating_01,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,750.0,24,19.618839314289723,104.59851105941101,30.966570892121894,0.3415064945014119,200.0,3.0
P2_MID,Ar/CF4/Iso 88/10/2,run_63,operating_02,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,750.0,37,19.40668759444282,104.36508648237896,32.93956288543386,0.3419497151668308,200.0,3.0
P2_MID,Ar/CF4/Iso 88/10/2,run_63,operating_03,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,750.0,41,19.429358343038825,104.37918155106532,33.230296464597494,0.3424277366271229,200.0,3.0
P2_MID,Ar/CF4/Iso 88/10/2,run_64,cfg_gain3.0_peaktime200_opt,p2b-config-cern-ext_gain3.0_peaktime200_opt.txt,450.0,750.0,28,19.36691616800863,104.37006207359485,34.77103490250755,0.3436669892033114,200.0,3.0
P2_MID,Ar/CF4/Iso 88/10/2,run_65,cfg_gain3.0_peaktime200_deflt,p2b-config-cern-ext_gain3.0_peaktime200_deflt.txt,450.0,750.0,41,19.756498047414063,100.40889582059263,30.345084875100923,0.1027258051403551,200.0,3.0
P2_MID,Ar/CF4/Iso 88/10/2,run_66,cfg_gain4.5_peaktime200_opt,p2b-config-cern-ext_gain4.5_peaktime200_opt.txt,450.0,750.0,41,18.85899853224869,102.18658304289514,31.204647170698323,0.3391072004422537,200.0,4.5
P2_MID,Ar/CF4/Iso 88/10/2,run_67,cfg_gain4.5_peaktime200_deflt,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,40,18.884418550836443,100.09076972090878,32.689020717157774,0.1540023949514523,200.0,4.5
P2_MID,Ar/CF4/Iso 88/10/2,run_70,cfg_gain3.0_peaktime50,p2b-config-cern-ext_gain3.0_peaktime50.txt,450.0,750.0,29,18.19947840296598,-53.70717336234067,34.58190311219284,0.194484361792054,50.0,3.0
